"Reference","Qty","Value","Footprint"," Manufacturer","MPN","Notes"
"U4","1","L7912","Package_TO_SOT_THT:TO-220-3_Vertical","RS","168-6803","https://uk.rs-online.com/web/p/voltage-regulators/1686803?gb=s"
"U3","1","L7812","Package_TO_SOT_THT:TO-220-3_Vertical","RS","918-1975","https://uk.rs-online.com/web/p/voltage-regulators/9181975?gb=s"
"U2","1","LM2902","Package_DIP:DIP-14_W7.62mm","RS","121-9109","https://uk.rs-online.com/web/p/op-amps/1219109?gb=s"
"U1","1","LM2904","Package_DIP:DIP-8_W7.62mm","RS","121-8467","https://uk.rs-online.com/web/p/op-amps/1218467?gb=s"
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16","16","TestPoint","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","DigiKey","2057-PH1-01-UA-ND","https://www.digikey.co.uk/en/products/detail/adam-tech/PH1-01-UA/9830231?gclsrc=aw.ds&gad_source=1&gad_campaignid=17347303118&gbraid=0AAAAADrbLlhqkwVSw3zdbicfDL_5iFHO0&gclid=Cj0KCQjw5onGBhDeARIsAFK6QJa2hYVOuuGV5rE7osiqe08t_8C49e3suhL-E5clrb31zhgrSJ61hv0aAqieEALw_wcB"
"RV1","1","50k","Potentiometer_THT:Potentiometer_Bourns_3299W_Vertical","RS","167-3364","https://uk.rs-online.com/web/p/trimmer-potentiometers/1673364?gb=s"
"R16","1","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","RS","487-7141","https://uk.rs-online.com/web/p/through-hole-resistors/4877141?gb=s"
"R13","1","36k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","RS","683-3575","https://uk.rs-online.com/web/p/through-hole-resistors/6833575?gb=s"
"R11,R15","2","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","RS","148-893","https://uk.rs-online.com/web/p/through-hole-resistors/0148893?gb=s"
"R8,R12","2","2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","RS","124-2864","https://uk.rs-online.com/web/p/through-hole-resistors/1242864?gb=s"
