Ref,Val,Package,PosX,PosY,Rot,Side
"BR1","DB107-BP","Diode_Bridge_DIP-4_W7.62mm_P5.08mm",39.500000,-25.250000,180.000000,top
"C1","470u","CP_Radial_D8.0mm_P3.50mm",45.000000,-28.250000,0.000000,top
"C2","100u","CP_Radial_D8.0mm_P3.50mm",29.750000,-44.250000,0.000000,top
"C3","470u","CP_Radial_D8.0mm_P3.50mm",45.000000,-18.500000,0.000000,top
"C4","100u","CP_Radial_D8.0mm_P3.50mm",29.500000,-35.250000,0.000000,top
"C5","100n","C_Rect_L7.0mm_W2.5mm_P5.00mm",72.250000,-71.750000,0.000000,top
"C6","100n","C_Rect_L7.0mm_W2.5mm_P5.00mm",67.170000,-84.000000,0.000000,top
"C7","100n","C_Rect_L7.0mm_W2.5mm_P5.00mm",46.000000,-63.500000,180.000000,top
"C8","100n","C_Rect_L7.0mm_W2.5mm_P5.00mm",41.000000,-59.500000,0.000000,top
"C9","10n","C_Rect_L7.0mm_W2.5mm_P5.00mm",71.920000,-60.000000,0.000000,top
"C10","33n","C_Rect_L7.0mm_W2.5mm_P5.00mm",71.920000,-64.250000,180.000000,top
"C11","100n","C_Rect_L7.0mm_W2.5mm_P5.00mm",66.000000,-76.000000,0.000000,top
"C12","100n","C_Rect_L7.0mm_W2.5mm_P5.00mm",77.000000,-44.330000,0.000000,top
"C13","100n","C_Rect_L7.0mm_W2.5mm_P5.00mm",46.250000,-77.500000,0.000000,top
"C14","100n","C_Rect_L7.0mm_W2.5mm_P5.00mm",58.500000,-52.250000,0.000000,top
"D1","LEDY","LED_D3.0mm",17.460000,-52.000000,0.000000,top
"D2","LEDR","LED_D3.0mm",107.500000,-27.500000,0.000000,top
"D3","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",91.750000,-32.500000,-90.000000,top
"D4","LEDB","LED_D3.0mm",107.250000,-77.000000,0.000000,top
"D5","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",91.750000,-81.940000,-90.000000,top
"D6","LEDG","LED_D3.0mm",107.750000,-53.000000,0.000000,top
"D7","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",91.750000,-58.000000,-90.000000,top
"J1","PW_INPUT","TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",20.000000,-17.665000,-90.000000,top
"J2","PW_OUTPUT","TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",20.000000,-35.000000,-90.000000,top
"J3","SIGNAL_INPUT","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",21.000000,-81.920000,-90.000000,top
"Q1","2N3904","TO-92_Inline",101.210000,-27.500000,0.000000,top
"Q2","2N3904","TO-92_Inline",101.210000,-77.000000,0.000000,top
"Q3","2N3904","TO-92_Inline",101.210000,-53.000000,0.000000,top
"R1","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",16.000000,-57.000000,0.000000,top
"R2","0R","R_2512_6332Metric",56.037500,-28.000000,0.000000,top
"R3","470R","R_2512_6332Metric",98.250000,-33.250000,0.000000,top
"R4","4k7","R_2512_6332Metric",94.787500,-27.500000,0.000000,top
"R5","16K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",66.920000,-87.500000,0.000000,top
"R6","16K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",77.250000,-80.000000,180.000000,top
"R7","470R","R_2512_6332Metric",98.250000,-82.750000,0.000000,top
"R8","2k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",40.920000,-68.500000,0.000000,top
"R9","4k7","R_2512_6332Metric",94.787500,-77.000000,0.000000,top
"R10","470R","R_2512_6332Metric",98.250000,-58.500000,0.000000,top
"R11","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",66.920000,-68.000000,0.000000,top
"R12","2k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",40.840000,-73.750000,0.000000,top
"R13","36k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",63.240000,-62.250000,180.000000,top
"R14","4k7","R_2512_6332Metric",94.787500,-53.000000,0.000000,top
"R15","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",53.000000,-57.000000,0.000000,top
"R16","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",63.080000,-46.540000,180.000000,top
"RV1","50k","Potentiometer_Bourns_3299W_Vertical",68.000000,-38.000000,0.000000,top
"TP1","TestPoint","PinHeader_1x01_P2.54mm_Vertical",79.000000,-49.460000,0.000000,top
"TP2","TestPoint","PinHeader_1x01_P2.54mm_Vertical",28.250000,-17.750000,0.000000,top
"TP3","TestPoint","PinHeader_1x01_P2.54mm_Vertical",39.000000,-45.000000,0.000000,top
"TP4","TestPoint","PinHeader_1x01_P2.54mm_Vertical",28.250000,-28.000000,0.000000,top
"TP5","TestPoint","PinHeader_1x01_P2.54mm_Vertical",63.000000,-28.000000,0.000000,top
"TP6","TestPoint","PinHeader_1x01_P2.54mm_Vertical",39.000000,-40.500000,0.000000,top
"TP7","TestPoint","PinHeader_1x01_P2.54mm_Vertical",86.500000,-40.250000,0.000000,top
"TP8","TestPoint","PinHeader_1x01_P2.54mm_Vertical",39.000000,-36.000000,0.000000,top
"TP9","TestPoint","PinHeader_1x01_P2.54mm_Vertical",102.500000,-20.000000,0.000000,top
"TP10","TestPoint","PinHeader_1x01_P2.54mm_Vertical",86.250000,-89.500000,0.000000,top
"TP11","TestPoint","PinHeader_1x01_P2.54mm_Vertical",102.500000,-69.500000,0.000000,top
"TP12","TestPoint","PinHeader_1x01_P2.54mm_Vertical",86.500000,-65.500000,0.000000,top
"TP13","TestPoint","PinHeader_1x01_P2.54mm_Vertical",102.500000,-45.500000,0.000000,top
"TP14","TestPoint","PinHeader_1x01_P2.54mm_Vertical",31.000000,-81.750000,0.000000,top
"TP15","TestPoint","PinHeader_1x01_P2.54mm_Vertical",69.750000,-33.000000,0.000000,top
"TP16","TestPoint","PinHeader_1x01_P2.54mm_Vertical",31.000000,-87.930000,0.000000,top
"U1","LM2904","DIP-8_W7.62mm",66.380000,-44.460000,0.000000,top
"U2","LM2902","DIP-14_W7.62mm",62.170000,-83.750000,180.000000,top
"U3","L7812","TO-220-3_Vertical",55.750000,-22.330000,90.000000,top
"U4","L7912","TO-220-3_Vertical",48.500000,-42.000000,90.000000,top
